"","logistic probs"
"173",0.0565219625176477
"174",0.0222890406658035
"177",0.0215668950417015
"178",0.0740941880011223
"179",0.0268878965492011
"180",0.356498078168224
"182",0.0949054971742018
"183",0.00490720032730209
"184",0.100289418661812
"185",0.0147314525836288
"187",0.0610808334169064
"189",0.389011408381916
"190",0.0107510170846804
"191",0.0582474533657359
"192",0.094298287895644
"193",0.0952867781656423
"197",0.0450743615646654
"198",0.143942322853954
"199",0.162635722504968
"200",0.447738162886129
"201",0.0870045337970434
"202",0.0200334275042119
"203",0.0350811749707189
"206",0.189253719851844
"212",0.120114336436899
"213",0.0460805681643698
"216",0.0533349580460873
"217",0.137724188085461
"218",0.0452271779466453
"222",0.0511287627723579
"226",0.167768197866946
"227",0.0695469561298713
"229",0.137408782258032
"230",0.10992733521426
"231",0.0307329716811326
"232",0.0517340069315126
"234",0.0198085112961005
"238",0.00987164971955837
"239",0.229086695597451
"245",0.0801002423820793
"247",0.0285348774503375
"249",0.0748453586952968
"250",0.0538744233359599
"251",0.0273791179629795
"252",0.0844146045245359
"254",0.0386430473139767
"257",0.0504579424937444
"258",0.0545559920665798
"261",0.123143730631995
"264",0.0640481780442153
"265",0.292055574060133
"268",0.0219440726295153
"274",0.0134284272957536
"275",0.100289418661812
"276",0.0580778543342676
"278",0.0716988375333693
"279",0.0103260176554633
"280",0.0322932226262121
"282",0.0148995974926506
"287",0.0239349520137967
"289",0.0526677939339967
"290",0.0910938371059489
"291",0.0718583229842112
"293",0.331608204087303
"294",0.027214416033431
"296",0.0594251090709241
"297",0.05140023523626
"298",0.0705281368548931
"300",0.0661130190505471
"301",0.0932440431800104
"303",0.00903094707203204
"304",0.11341714301692
"308",0.0673992435587181
"309",0.0555377320419497
"313",0.132903596337205
"315",0.0794951706902944
"316",0.0148995974926506
"317",0.07505440567205
"321",0.0194842318628253
"322",0.0204552478837998
"326",0.100361399376403
"328",0.0148736065490106
"329",0.174786189096901
"330",0.0705862499895046
"331",0.049812340695424
"333",0.0104535746226495
"334",0.155407723166641
"335",0.148836787305296
"336",0.0596235412113973
"337",0.0377317520536469
"339",0.0281202283852376
"340",0.217831999685485
"341",0.132017529856155
"343",0.00749380963665075
"346",0.0527562916615634
"347",0.018276527118468
"348",0.0949054971742018
"349",0.0106198696064746
"350",0.0174769187217227
"352",0.055398451241441
"353",0.0945561147658808
"355",0.0694152535441514
"356",0.0676223885483837
"359",0.0264052490994667
"360",0.0275210617324794
"363",0.243392973931936
"368",0.0494486508685314
"370",0.07738142546461
"371",0.0704120432074155
"372",0.0666236056203566
"373",0.0520522249248601
"376",0.0675665381465935
"379",0.0532008903152495
"381",0.0550747404405514
"382",0.0163330259274949
"389",0.0369355727209499
"391",0.233974278594658
"394",0.0119564484016027
"395",0.278008620610432
"396",0.0991755281683259
"401",0.05819886256035
"402",0.0523591547889417
"403",0.211114180897907
"404",0.0228025987636195
"405",0.0672323333247864
"408",0.0412137680441039
"411",0.0906545732766083
"412",0.0103505087926178
"414",0.011018136433566
"415",0.0705281368548931
"417",0.10552406802851
"419",0.0716398790184932
"420",0.132017529856155
"421",0.0164329860281296
"424",0.0312304905347856
"428",0.0348299974668883
"432",0.00911860201755559
"435",0.0086809703193766
"436",0.0108933102041234
"437",0.0285594525357438
"439",0.027214416033431
"441",0.0468618174116413
"442",0.0680145417100782
"443",0.0891106423493594
"445",0.0261942359385602
"446",0.00750040343699511
"448",0.0223470482943304
"453",0.014200889781551
"457",0.0687484240729799
"459",0.0429859554223461
"466",0.00929644849894528
"467",0.0655137139238897
"469",0.0949588892127732
"473",0.0106852443124969
"474",0.0271441246670052
"475",0.0696617303300755
"476",0.0364034249821393
"479",0.0282902528751479
"481",0.026703027570126
"483",0.0778444511825964
"484",0.0522712864892808
"490",0.0416571565679175
"493",0.0108077123707268
"494",0.0777808625134139
"499",0.0580048794047574
"502",0.0180914053087255
"504",0.0152682014271031
"506",0.0201730789032571
"508",0.0204020484420281
"511",0.145500266580965
"512",0.102943127153185
"513",0.0532008903152495
"515",0.0204020484420281
"516",0.0391398943895581
"517",0.299438052436788
"518",0.0145270692745743
"519",0.0149126097335072
"520",0.0577150420570697
"521",0.0143505274099564
"522",0.0284857888413352
"524",0.0204552478837998
"525",0.0532008903152495
"527",0.11485067717029
"529",0.0145143884866365
"532",0.0691466230167938
"534",0.0444303642431644
"537",0.307114775479718
"538",0.0747840212133474
"541",0.0510556729961042
"542",0.0118314749562794
"544",0.0232410739589772
"547",0.014539760977882
"548",0.0510556729961042
"549",0.014200889781551
"551",0.00544373802002935
"553",0.0167467185488826
"554",0.0519648434648127
"560",0.075091171261184
"562",0.0643835927482866
"564",0.0204374996622062
"565",0.230655456610179
"566",0.0287073349950157
"567",0.154340795077099
"569",0.094298287895644
"570",0.0424784714401387
"572",0.0144511479591428
"574",0.0112326108902257
"575",0.0997310905768825
"578",0.019963957363822
"579",0.0140896717632566
"581",0.0170901004953444
"582",0.0104051142209275
"584",0.0206873524924927
"585",0.0143756176353714
"592",0.0279680851090794
"597",0.0483932836431914
"598",0.0813496646944291
"599",0.0574122362427922
"603",0.0193324474151721
"605",0.114967729281368
"607",0.121526271857939
"609",0.0361772238940754
"610",0.0608272218632976
"611",0.356051231432842
"612",0.0675498610195475
"615",0.0878741683773956
"616",0.0586375520419685
"619",0.0690156223176902
"622",0.0668996629783998
"624",0.00546296267078232
"625",0.218436541305496
"627",0.0546017177351105
"628",0.0707608549689962
"629",0.0497410341263742
